0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
vs Levante,24,27.1,58.8,9,99,810,9.0,16,13,29,15,1,1,16,2,14.1,13.3,10.8,24.0,188,403,1.78,1.44,3.22,1.67,3.11,1.56,1.20,2.76,1.47,2.67
vs Mallorca,24,26.7,56.6,9,99,810,9.0,14,10,24,12,2,3,19,2,16.0,13.7,11.3,25.0,173,409,1.56,1.11,2.67,1.33,2.44,1.78,1.25,3.03,1.52,2.77
vs Osasuna,20,27.6,55.8,9,99,810,9.0,9,6,15,8,1,1,15,1,11.7,10.9,9.6,20.5,177,414,1.00,0.67,1.67,0.89,1.56,1.30,1.07,2.37,1.21,2.28
vs Oviedo,26,26.9,57.1,9,99,810,9.0,16,11,27,16,0,1,11,0,17.3,16.6,10.9,27.5,207,467,1.78,1.22,3.00,1.78,3.00,1.93,1.21,3.14,1.84,3.05
vs Rayo Vallecano,24,27.2,46.9,9,99,810,9.0,10,6,16,8,2,2,11,1,12.1,10.6,8.2,18.8,142,315,1.11,0.67,1.78,0.89,1.56,1.35,0.92,2.26,1.17,2.09
vs Real Madrid,22,27.9,36.6,9,99,810,9.0,9,5,14,7,2,2,18,4,10.1,8.6,6.8,15.4,134,233,1.00,0.56,1.56,0.78,1.33,1.13,0.75,1.88,0.96,1.71
vs Real Sociedad,26,27.7,47.1,9,99,810,9.0,12,10,22,11,1,1,18,2,13.6,12.8,10.9,23.8,124,270,1.33,1.11,2.44,1.22,2.33,1.51,1.22,2.73,1.42,2.64
vs Sevilla,28,27.8,47.9,9,99,810,9.0,14,9,23,12,2,3,18,1,15.3,12.9,9.7,22.6,135,305,1.56,1.00,2.56,1.33,2.33,1.70,1.08,2.77,1.44,2.51
vs Valencia,21,27.5,53.3,9,99,810,9.0,14,10,24,14,0,0,16,4,11.7,11.7,9.7,21.5,149,360,1.56,1.11,2.67,1.56,2.67,1.31,1.08,2.39,1.31,2.39
vs Villarreal,25,27.3,54.2,9,99,810,9.0,10,7,17,8,2,3,15,2,11.7,9.3,7.8,17.2,158,439,1.11,0.78,1.89,0.89,1.67,1.30,0.87,2.17,1.04,1.91
